Title;Year;Rating;Director
The Shawshank Redemption;1994;9,2;Frank Darabont
The Godfather;1972;9,2;Francis Ford Coppola
The Dark Knight;2008;9,0;Christopher Nolan
The Godfather: Part II;1974;9,0;Francis Ford Coppola
12 Angry Men;1957;9,0;Sidney Lumet
Schindler's List;1993;8,9;Steven Spielberg
The Lord of the Rings: The Return of the King;2003;8,9;Peter Jackson
